day_of_year,day_of_year_sin,freight_rate_usd_mt,bunker_price_usd_mt,days_since_start
1,0.017213356155834685,16.8618,92.9396,1
2,0.03442161162274574,17.8624,94.1894,2
3,0.051619667223253764,16.8788,88.515,3
4,0.06880242680231986,17.4735,93.3569,4
5,0.08596479873744647,17.3232,93.3066,5
6,0.10310169744743485,18.1744,95.5455,6
7,0.1202080448993527,18.4023,94.0225,7
8,0.13727877211326478,17.6091,95.1712,8
9,0.15430882066428117,17.6499,95.2183,9
10,0.1712931441814776,18.1581,96.6028,10
11,0.1882267098432442,17.9293,94.5254,11
12,0.2051044998686192,18.2838,97.882,12
13,0.2219215130041655,18.2288,94.5089,13
14,0.2386727660059501,18.6515,96.8793,14
15,0.255353295116187,18.7488,96.8714,15
16,0.2719581575341055,18.4852,100.9281,16
17,0.288482432880609,18.2958,95.3406,17
18,0.30492122465628907,21.6601,98.0715,18
19,0.3212696616923644,20.8111,96.712,19
20,0.3375228995941133,21.5157,95.3927,20
21,0.3536761221763716,21.5572,99.083,21
22,0.3697245428906731,21.4245,96.2223,22
23,0.38566340624360707,21.4794,98.1788,23
24,0.401487989205973,21.5378,100.0719,24
25,0.4171936026123168,21.4946,99.878,25
26,0.4327755925504312,21.7661,99.2468,26
27,0.4482293417404106,21.3161,95.6281,27
28,0.4635502709028509,21.2186,98.0186,28
29,0.47873384011578846,22.2001,98.6642,29
30,0.49377555015997715,21.9598,97.577,30
31,0.5086709438521044,18.9604,95.9882,31
32,0.5234156073655503,19.4287,100.2533,32
33,0.5380051715382996,19.5379,101.6607,33
34,0.5524353131676196,18.9432,99.5256,34
35,0.5667017562911176,19.0921,102.3728,35
36,0.5808002734538009,18.6041,97.867,36
37,0.5947266869607634,19.3367,98.8346,37
38,0.6084768701151261,19.4386,101.3502,38
39,0.6220467484408675,19.1687,100.2718,39
40,0.6354323008901774,18.9684,102.7583,40
41,0.6486295610349814,18.7858,102.5524,41
42,0.6616346182422783,18.8692,100.9095,42
43,0.6744436188329455,19.2156,99.2332,43
44,0.6870527672236669,18.9976,100.9822,44
45,0.699458327051647,19.1935,103.2183,45
46,0.7116566222817746,18.9279,103.7652,46
47,0.7236440382959124,18.882,101.5056,47
48,0.7354170229639855,18.2076,98.855,48
49,0.7469720876965552,18.394,99.7821,49
50,0.7583058084785624,18.4555,103.6911,50
51,0.7694148268839378,19.4024,102.0938,51
52,0.7802958510707755,19.1264,102.2506,52
53,0.7909456567567772,18.6641,101.0834,53
54,0.8013610881746766,18.5821,101.1448,54
55,0.8115390590073611,17.9848,105.1753,55
56,0.8214765533024142,18.8402,104.3684,56
57,0.8311706263658079,18.039,102.1859,57
58,0.8406184056344782,18.4549,103.7262,58
59,0.8498170915275278,18.6954,104.1482,59
60,0.8587639582758029,18.6046,107.223,60
61,0.8674563547295969,18.7168,101.5044,61
62,0.8758917051442429,19.2764,104.2911,62
63,0.8840675099433636,18.8403,105.6895,63
64,0.8919813464595485,18.1629,107.1107,64
65,0.8996308696522433,18.23,102.5171,65
66,0.9070138128026359,18.0417,103.0941,66
67,0.9141279881853337,18.599,105.3702,67
68,0.9209712877166346,18.2003,100.7521,68
69,0.9275416835791966,19.0986,104.6867,69
70,0.9338372288229252,20.0972,108.3928,70
71,0.9398560579418954,18.3222,104.9087,71
72,0.9455963874271426,18.847,99.2974,72
73,0.9510565162951535,18.6038,102.1843,73
74,0.9562348265919056,18.7648,102.6051,74
75,0.9611297838723007,18.9782,106.2697,75
76,0.9657399376548549,18.4469,103.5424,76
77,0.9700639218515071,18.6944,100.168,77
78,0.9741004551724205,19.7944,103.6888,78
79,0.9778483415056568,19.4909,104.0427,79
80,0.9813064702716093,18.546,102.6007,80
81,0.9844738167520922,18.7896,101.513,81
82,0.9873494423939864,18.8788,108.2502,82
83,0.989932495087353,18.8603,105.3377,83
84,0.9922222094179323,19.4959,105.4621,84
85,0.994217906893952,19.3302,102.982,85
86,0.995918996147179,19.5916,101.7943,86
87,0.9973249731081555,18.9006,102.1364,87
88,0.9984354211555643,19.5644,100.2229,88
89,0.9992500112396835,19.6905,106.3997,89
90,0.9997685019798909,19.7585,102.5506,90
91,0.9999907397361901,19.822,105.5653,91
92,0.9999166586547379,20.2308,101.6631,92
93,0.9995462806873573,20.5003,103.3802,93
94,0.9988797155850336,19.3045,102.7045,94
95,0.9979171608653922,20.6088,99.1507,95
96,0.9966589017541702,19.9163,105.8069,96
97,0.9951053111006976,20.6467,101.021,97
98,0.9932568492674143,19.6126,99.2727,98
99,0.9911140639934547,19.9267,102.9628,99
100,0.9886775902323405,20.0537,101.3707,100
101,0.9859481499638304,20.8069,101.9544,101
102,0.9829265519799822,20.4909,101.2361,102
103,0.9796136916454901,20.1535,96.347,103
104,0.9760105506323683,19.686,98.8184,104
105,0.9721181966290613,20.1068,98.5533,105
106,0.9679377830240642,19.7275,102.3077,106
107,0.9634705485641488,20.0989,100.1634,107
108,0.9587178169872964,20.7703,99.1744,108
109,0.9536809966304457,20.9513,100.8744,109
110,0.9483615800121715,20.0213,99.142,110
111,0.9427611433904207,20.4406,98.777,111
112,0.9368813462954315,19.8486,99.4419,112
113,0.9307239310379795,20.4271,99.0329,113
114,0.9242907221930933,21.2187,104.1492,114
115,0.9175836260593937,20.137,96.5072,115
116,0.9106046300942162,19.9611,94.9352,116
117,0.9033558023246845,20.7889,98.6164,117
118,0.895839290734909,19.8923,96.0824,118
119,0.8880573226294932,20.0397,92.7239,119
120,0.8800122039735357,19.8629,94.8693,120
121,0.8717063187093218,20.0191,95.0336,121
122,0.8631421280499114,19.3296,92.8493,122
123,0.854322169749827,19.4608,101.1519,123
124,0.8452490573530633,20.7257,93.8036,124
125,0.8359254794186372,19.4181,102.3545,125
126,0.8263541987239096,19.95,94.8981,126
127,0.8165380514459161,19.3418,99.2543,127
128,0.8064799463209448,20.0149,94.6528,128
129,0.7961828637826158,19.4425,95.8886,129
130,0.7856498550787147,18.9043,94.3758,130
131,0.7748840413670407,19.3245,93.8831,131
132,0.7638886127905428,19.1291,94.6535,132
133,0.7526668275320085,19.7615,94.9146,133
134,0.7412220108485958,19.3748,93.9527,134
135,0.7295575540864875,19.1318,93.4605,135
136,0.717676913675962,19.1708,91.4882,136
137,0.705583610107178,19.9032,92.5932,137
138,0.6932812268869777,19.0951,95.9998,138
139,0.6807734094770161,18.2753,90.5905,139
140,0.6680638642135335,18.862,94.6205,140
141,0.6551563572090853,17.8566,92.7871,141
142,0.6420547132365637,18.7755,93.502,142
143,0.6287628145958344,18.2235,88.7498,143
144,0.6152845999633276,18.4153,91.5045,144
145,0.6016240632249226,18.2516,90.0136,145
146,0.5877852522924732,18.2909,89.8349,146
147,0.5737722679043246,17.0376,93.3601,147
148,0.5595892624101765,18.154,89.3362,148
149,0.545240438540651,17.8507,90.2441,149
150,0.5307300481619334,18.0435,85.465,150
151,0.5160623910158528,17.2323,92.8681,151
152,0.5012418134457758,17.6895,90.708,152
153,0.48627270710868997,17.2798,88.4139,153
154,0.4711595076738638,18.2752,87.556,154
155,0.4559066935084588,18.4411,89.3185,155
156,0.440518784350495,17.8253,90.3738,156
157,0.42500033996955416,17.7941,91.3691,157
158,0.4093559588156213,17.3964,89.1053,158
159,0.39359027665646673,17.1569,87.1837,159
160,0.3777079652039649,16.9294,88.9705,160
161,0.36171373072976765,17.3366,88.2733,161
162,0.3456123126707335,17.7423,88.8903,162
163,0.3294084822245304,17.7257,90.0833,163
164,0.3131070409358269,17.256,82.3867,164
165,0.29671281927349075,17.0457,83.0372,165
166,0.28023067519921585,17.6223,88.7139,166
167,0.26366549272800704,16.8098,83.6285,167
168,0.24702218048093552,16.7298,85.0187,168
169,0.23030567023061221,17.3942,83.254,169
170,0.21352091543979612,17.5738,87.0598,170
171,0.19667288979357647,17.3465,79.2687,171
172,0.1797665857255624,17.4614,84.2632,172
173,0.16280701293851715,16.393,87.4596,173
174,0.1457991969198751,17.5368,82.4068,174
175,0.12874817745258132,17.9186,80.0352,175
176,0.11165900712169512,17.6982,84.1368,176
177,0.09453674981719912,17.6716,81.8865,177
178,0.07738647923346301,17.4677,85.3138,178
179,0.06021327736579302,17.4777,83.3039,179
180,0.04302223300453059,17.2768,80.7187,180
181,0.02581844022713308,17.551,82.117,181
182,0.008606996888688698,16.9495,84.4914,182
183,-0.008606996888688009,18.0797,81.861,183
184,-0.02581844022713239,17.0435,80.3492,184
185,-0.04302223300453034,17.8348,82.2844,185
186,-0.060213277365792774,18.0634,81.7238,186
187,-0.07738647923346322,17.8812,83.4481,187
188,-0.09453674981719933,18.5553,82.6519,188
189,-0.11165900712169444,16.5983,80.8566,189
190,-0.12874817745258066,17.3522,84.7177,190
191,-0.14579919691987442,18.1165,81.3116,191
192,-0.16280701293851646,16.9254,77.4407,192
193,-0.17976658572556214,17.1356,77.3398,193
194,-0.19667288979357622,17.7846,81.7324,194
195,-0.2135209154397959,16.9078,81.2812,195
196,-0.23030567023061196,17.4962,75.5051,196
197,-0.24702218048093527,17.7206,79.4691,197
198,-0.2636654927280072,17.5975,81.9767,198
199,-0.2802306751992161,17.6273,82.036,199
200,-0.2967128192734901,17.1851,81.467,200
201,-0.3131070409358267,17.5527,79.8488,201
202,-0.3294084822245302,17.2907,81.998,202
203,-0.3456123126707333,17.3142,81.2943,203
204,-0.3617137307297674,17.7606,79.85,204
205,-0.37770796520396466,16.7213,75.6907,205
206,-0.39359027665646645,16.2314,76.7875,206
207,-0.4093559588156211,17.5999,78.535,207
208,-0.42500033996955394,17.3186,79.3853,208
209,-0.4405187843504952,17.8164,82.3993,209
210,-0.455906693508459,17.7473,79.8479,210
211,-0.47115950767386394,16.7122,80.2057,211
212,-0.4862727071086902,16.3483,78.7044,212
213,-0.5012418134457756,16.7862,78.0733,213
214,-0.5160623910158526,17.7041,81.8162,214
215,-0.5307300481619331,16.984,77.0347,215
216,-0.5452404385406507,16.9625,77.8194,216
